カテゴリー名,大分類,中分類,小分類,商品数,作成日時
食料品>茶類>緑茶,食料品,茶類,緑茶,0,2025-12-29T05:22:06.225361
食料品>茶類>茶,食料品,茶類,茶,4,2025-12-29T05:22:06.469455
食料品>茶類>茶・飲料,食料品,茶類,茶・飲料,1,2025-12-29T05:22:06.707561
食料品>茶類>茶類,食料品,茶類,茶類,1,2025-12-29T05:22:06.783241
食料品>茶類>飲料,食料品,茶類,飲料,44,2025-12-29T05:22:06.381666
食料品>茶類>麺類,食料品,茶類,麺類,1,2025-12-29T05:22:06.85799
食料品>菓子>チョコレート,食料品,菓子,チョコレート,2,2025-12-29T22:51:20.264843
食料品>菓子>洋菓子,食料品,菓子,洋菓子,6,2025-12-30T01:57:31.852053
食料品>菓子>焼き菓子,食料品,菓子,焼き菓子,4,2025-12-30T01:57:39.318679
食料品>菓子・スイーツ>スナック菓子,食料品,菓子・スイーツ,スナック菓子,1,2025-12-29T22:37:43.171479
食料品>菓子・スイーツ>チーズ,食料品,菓子・スイーツ,チーズ,1,2025-12-29T22:37:35.33531
食料品>菓子・スイーツ>ドーナツ,食料品,菓子・スイーツ,ドーナツ,2,2025-12-30T01:56:08.393697
食料品>菓子・スイーツ>パイ,食料品,菓子・スイーツ,パイ,1,2025-12-29T22:57:24.283565
食料品>菓子・スイーツ>焼き菓子,食料品,菓子・スイーツ,焼き菓子,1,2025-12-30T01:57:27.53403
食料品>菓子・デザート>その他デザート,食料品,菓子・デザート,その他デザート,1,2025-12-29T22:44:16.265625
食料品>菓子・デザート>パイ,食料品,菓子・デザート,パイ,1,2025-12-30T01:06:01.599797
食料品>菓子類>ドーナツ,食料品,菓子類,ドーナツ,1,2025-12-30T01:56:26.950234
食料品>菓子類>和菓子,食料品,菓子類,和菓子,5,2025-12-29T20:49:18.73658
食料品>製菓材料>油脂類,食料品,製菓材料,油脂類,1,2025-12-29T22:26:33.754175
食料品>調味料>うま味調味料,食料品,調味料,うま味調味料,1,2025-12-29T05:22:03.496236
食料品>調味料>お酢,食料品,調味料,お酢,1,2025-12-29T21:10:52.729345
食料品>調味料>からし,食料品,調味料,からし,3,2025-12-29T21:14:57.25913
食料品>調味料>からし・わさび,食料品,調味料,からし・わさび,1,2025-12-29T21:15:26.140232
食料品>調味料>こしょう,食料品,調味料,こしょう,2,2025-12-29T21:16:42.055388
食料品>調味料>こしょう・スパイス,食料品,調味料,こしょう・スパイス,1,2025-12-29T21:16:24.803267
食料品>調味料>すき焼きのたれ,食料品,調味料,すき焼きのたれ,0,2025-12-29T21:11:19.62723
食料品>調味料>すし酢,食料品,調味料,すし酢,0,2025-12-29T21:06:25.679679
食料品>調味料>その他調味料,食料品,調味料,その他調味料,42,2025-12-29T05:22:02.438157
食料品>調味料>たれ,食料品,調味料,たれ,2,2025-12-29T21:02:09.24809
食料品>調味料>たれ・つゆ,食料品,調味料,たれ・つゆ,1,2025-12-29T21:58:22.642498
食料品>調味料>たれ・ソース,食料品,調味料,たれ・ソース,9,2025-12-29T20:46:27.781624
食料品>調味料>たれ・ソース類,食料品,調味料,たれ・ソース類,6,2025-12-29T20:47:14.774534
食料品>調味料>たれ・ドレッシング,食料品,調味料,たれ・ドレッシング,2,2025-12-29T21:11:11.548095
食料品>調味料>だし,食料品,調味料,だし,10,2025-12-29T05:22:16.587267
食料品>調味料>だし・だしパック,食料品,調味料,だし・だしパック,1,2025-12-29T21:21:11.542072
食料品>調味料>だし・だし原料,食料品,調味料,だし・だし原料,0,2025-12-29T21:08:07.749391
食料品>調味料>だし・つゆ,食料品,調味料,だし・つゆ,3,2025-12-29T21:14:59.663525
食料品>調味料>だし・ブイヨン,食料品,調味料,だし・ブイヨン,3,2025-12-29T05:22:03.103754
食料品>調味料>だし類,食料品,調味料,だし類,33,2025-12-29T05:22:16.521046
食料品>調味料>つゆ・たれ,食料品,調味料,つゆ・たれ,1,2025-12-29T21:14:57.275121
食料品>調味料>つゆ・だし,食料品,調味料,つゆ・だし,4,2025-12-29T21:02:07.607332
食料品>調味料>ぽん酢,食料品,調味料,ぽん酢,7,2025-12-29T22:04:42.171406
食料品>調味料>みそ汁,食料品,調味料,みそ汁,0,2025-12-29T05:22:01.609953
食料品>調味料>みりん,食料品,調味料,みりん,5,2025-12-29T22:02:41.61657
食料品>調味料>みりん・料理酒,食料品,調味料,みりん・料理酒,1,2025-12-29T21:10:14.372898
食料品>調味料>みりん風調味料,食料品,調味料,みりん風調味料,1,2025-12-29T21:10:12.375165
食料品>調味料>めんつゆ,食料品,調味料,めんつゆ,6,2025-12-29T22:03:03.506556
食料品>調味料>めんつゆ・だし,食料品,調味料,めんつゆ・だし,1,2025-12-29T22:03:15.297308
食料品>調味料>インスタントスープ,食料品,調味料,インスタントスープ,1,2025-12-29T05:22:05.772506
食料品>調味料>インスタント・レトルト食品,食料品,調味料,インスタント・レトルト食品,2,2025-12-29T05:22:03.634461
食料品>調味料>インスタント味噌汁,食料品,調味料,インスタント味噌汁,7,2025-12-29T05:22:02.294233
食料品>調味料>インスタント食品,食料品,調味料,インスタント食品,8,2025-12-29T05:22:02.11494
食料品>調味料>インスタント食品・レトルト食品,食料品,調味料,インスタント食品・レトルト食品,1,2025-12-29T05:22:03.901566
食料品>調味料>コチュジャン,食料品,調味料,コチュジャン,3,2025-12-29T20:51:59.934534
食料品>調味料>シーズニング,食料品,調味料,シーズニング,43,2025-12-29T20:45:58.687472
食料品>調味料>スパイス,食料品,調味料,スパイス,8,2025-12-29T20:46:25.525692
食料品>調味料>スパイス・ハーブ,食料品,調味料,スパイス・ハーブ,2,2025-12-29T05:22:03.707814
食料品>調味料>スパイス・香辛料,食料品,調味料,スパイス・香辛料,46,2025-12-29T20:47:42.951832
食料品>調味料>スープの素,食料品,調味料,スープの素,2,2025-12-29T22:01:13.878106
食料品>調味料>スープ・だし,食料品,調味料,スープ・だし,1,2025-12-29T22:02:02.698246
食料品>調味料>ソース,食料品,調味料,ソース,15,2025-12-29T05:22:01.831152
食料品>調味料>ソース・たれ,食料品,調味料,ソース・たれ,1,2025-12-29T22:15:09.291927
食料品>調味料>ソース・ドレッシング,食料品,調味料,ソース・ドレッシング,0,2025-12-29T21:11:43.387777
食料品>調味料>ソース類,食料品,調味料,ソース類,7,2025-12-29T05:22:13.883616
食料品>調味料>タルタルソース,食料品,調味料,タルタルソース,1,2025-12-29T21:24:52.620816
食料品>調味料>チーズ,食料品,調味料,チーズ,1,2025-12-29T22:42:00.700089
食料品>調味料>ドレッシング,食料品,調味料,ドレッシング,114,2025-12-29T05:22:08.550615
食料品>調味料>ドレッシング・たれ,食料品,調味料,ドレッシング・たれ,1,2025-12-29T05:22:02.721197
食料品>調味料>パスタソース,食料品,調味料,パスタソース,8,2025-12-29T05:22:14.034152
食料品>調味料>ビネガー,食料品,調味料,ビネガー,1,2025-12-29T21:10:39.044398
食料品>調味料>ブイヨン・コンソメ,食料品,調味料,ブイヨン・コンソメ,2,2025-12-29T22:07:20.663943
食料品>調味料>ポン酢,食料品,調味料,ポン酢,2,2025-12-29T05:22:04.674694
食料品>調味料>ポン酢・たれ,食料品,調味料,ポン酢・たれ,1,2025-12-29T22:04:58.541766
食料品>調味料>ポン酢・だし,食料品,調味料,ポン酢・だし,1,2025-12-29T05:22:02.218553
食料品>調味料>マスタード,食料品,調味料,マスタード,5,2025-12-29T21:12:31.062679
食料品>調味料>マヨネーズ,食料品,調味料,マヨネーズ,12,2025-12-29T21:11:30.828109
食料品>調味料>マーガリン,食料品,調味料,マーガリン,1,2025-12-29T22:50:46.835507
食料品>調味料>ラー油,食料品,調味料,ラー油,2,2025-12-29T22:06:42.929304
食料品>調味料>中華惣菜・スープ,食料品,調味料,中華惣菜・スープ,1,2025-12-29T05:22:05.404717
食料品>調味料>中華惣菜・調味料,食料品,調味料,中華惣菜・調味料,1,2025-12-29T05:22:03.204304
食料品>調味料>中華調味料,食料品,調味料,中華調味料,31,2025-12-29T05:22:02.887091
食料品>調味料>健康飲料,食料品,調味料,健康飲料,4,2025-12-29T05:22:05.333742
食料品>調味料>冷凍ピザ,食料品,調味料,冷凍ピザ,14,2025-12-29T05:22:13.964137
食料品>調味料>合わせ調味料,食料品,調味料,合わせ調味料,8,2025-12-29T05:22:03.350724
食料品>調味料>合わせ酢,食料品,調味料,合わせ酢,1,2025-12-29T05:22:03.559193
食料品>調味料>合わせ酢・ピクルス液,食料品,調味料,合わせ酢・ピクルス液,1,2025-12-29T21:19:29.277327
食料品>調味料>味噌,食料品,調味料,味噌,49,2025-12-29T05:22:01.092314
食料品>調味料>味噌・たれ,食料品,調味料,味噌・たれ,1,2025-12-29T05:22:02.369046
食料品>調味料>味噌・調味料,食料品,調味料,味噌・調味料,1,2025-12-29T05:22:04.047821
食料品>調味料>味噌汁,食料品,調味料,味噌汁,1,2025-12-29T05:22:02.962564
食料品>調味料>和え物の素,食料品,調味料,和え物の素,1,2025-12-29T22:05:03.04507
食料品>調味料>和え物・たれ,食料品,調味料,和え物・たれ,2,2025-12-29T20:48:53.155689
食料品>調味料>和え物用調味料,食料品,調味料,和え物用調味料,1,2025-12-29T05:22:03.284188
食料品>調味料>和風調味料,食料品,調味料,和風調味料,2,2025-12-29T05:22:02.515606
食料品>調味料>塩,食料品,調味料,塩,20,2025-12-29T20:51:53.567286
食料品>調味料>塩・スパイス,食料品,調味料,塩・スパイス,1,2025-12-29T22:26:46.835282
食料品>調味料>塩類,食料品,調味料,塩類,0,2025-12-29T05:22:04.119334
食料品>調味料>塩麹・塩糀,食料品,調味料,塩麹・塩糀,1,2025-12-29T21:58:43.725689
食料品>調味料>寿司酢,食料品,調味料,寿司酢,2,2025-12-29T05:22:03.03439
食料品>調味料>惣菜,食料品,調味料,惣菜,2,2025-12-29T05:22:03.419687
食料品>調味料>惣菜の素,食料品,調味料,惣菜の素,1,2025-12-29T20:50:16.068764
食料品>調味料>惣菜・おつまみ,食料品,調味料,惣菜・おつまみ,1,2025-12-29T05:22:06.063405
食料品>調味料>惣菜・お弁当,食料品,調味料,惣菜・お弁当,3,2025-12-29T05:22:01.967444
食料品>調味料>惣菜・お惣菜,食料品,調味料,惣菜・お惣菜,2,2025-12-29T05:22:03.967677
食料品>調味料>惣菜・調味料,食料品,調味料,惣菜・調味料,1,2025-12-29T05:22:02.625829
食料品>調味料>惣菜・調理済食品,食料品,調味料,惣菜・調理済食品,1,2025-12-29T05:22:03.823812
食料品>調味料>料理酒,食料品,調味料,料理酒,13,2025-12-29T05:22:11.176496
食料品>調味料>油,食料品,調味料,油,1,2025-12-29T21:12:05.632819
食料品>調味料>海藻・乾物,食料品,調味料,海藻・乾物,1,2025-12-29T05:22:02.806122
食料品>調味料>漬物・惣菜,食料品,調味料,漬物・惣菜,3,2025-12-29T05:22:05.584994
食料品>調味料>炒飯の素,食料品,調味料,炒飯の素,1,2025-12-29T20:52:07.610977
食料品>調味料>焼肉のたれ,食料品,調味料,焼肉のたれ,4,2025-12-29T20:50:07.850646
食料品>調味料>甘味料,食料品,調味料,甘味料,4,2025-12-29T05:22:04.862609
食料品>調味料>生姜,食料品,調味料,生姜,4,2025-12-29T21:15:00.947423
食料品>調味料>生姜類,食料品,調味料,生姜類,0,2025-12-29T05:22:04.950271
食料品>調味料>砂糖,食料品,調味料,砂糖,13,2025-12-29T20:53:12.468041
食料品>調味料>穀物酢,食料品,調味料,穀物酢,1,2025-12-29T21:10:18.323475
食料品>調味料>糀,食料品,調味料,糀,1,2025-12-29T21:58:50.992052
食料品>調味料>肉料理キット,食料品,調味料,肉料理キット,0,2025-12-29T05:22:01.442287
食料品>調味料>菓子,食料品,調味料,菓子,1,2025-12-29T05:22:05.90246
食料品>調味料>薬味・香辛料,食料品,調味料,薬味・香辛料,3,2025-12-29T21:14:32.744737
食料品>調味料>調味料,食料品,調味料,調味料,162,2025-12-29T05:22:01.27044
食料品>調味料>調味料・香辛料,食料品,調味料,調味料・香辛料,3,2025-12-29T05:22:05.244681
食料品>調味料>調味酢・健康酢,食料品,調味料,調味酢・健康酢,1,2025-12-29T05:22:05.990535
食料品>調味料>酢,食料品,調味料,酢,8,2025-12-29T20:50:38.756928
食料品>調味料>酸味料,食料品,調味料,酸味料,1,2025-12-29T20:54:59.173963
食料品>調味料>醤油,食料品,調味料,醤油,75,2025-12-29T07:00:59.735958
食料品>調味料>釜めしの素,食料品,調味料,釜めしの素,5,2025-12-29T05:22:16.693165
食料品>調味料>食塩,食料品,調味料,食塩,0,2025-12-29T21:09:11.850016
食料品>調味料>食塩・こしょう,食料品,調味料,食塩・こしょう,1,2025-12-29T21:16:34.953981
食料品>調味料>食用油,食料品,調味料,食用油,17,2025-12-29T20:53:10.523461
食料品>調味料>食酢,食料品,調味料,食酢,0,2025-12-29T21:10:08.522923
食料品>調味料>飲料,食料品,調味料,飲料,5,2025-12-29T05:22:05.091956
食料品>調味料>香味油,食料品,調味料,香味油,1,2025-12-29T22:14:51.777
食料品>調味料>香味野菜・薬味,食料品,調味料,香味野菜・薬味,2,2025-12-29T21:15:48.153168
食料品>調味料>香味野菜・香味調味料,食料品,調味料,香味野菜・香味調味料,2,2025-12-29T21:14:36.562214
食料品>調味料>香辛料,食料品,調味料,香辛料,23,2025-12-29T20:46:39.516813
食料品>調味料>香辛料・スパイス,食料品,調味料,香辛料・スパイス,6,2025-12-29T20:51:55.743048
食料品>調味料>香辛料・ハーブ,食料品,調味料,香辛料・ハーブ,1,2025-12-29T22:07:45.654795
食料品>調味料>香辛料・薬味,食料品,調味料,香辛料・薬味,9,2025-12-29T21:14:50.095793
食料品>調味料>香辛料・調味料,食料品,調味料,香辛料・調味料,1,2025-12-29T05:22:05.68208
食料品>調味料>香辛料（スパイス）,食料品,調味料,香辛料（スパイス）,2,2025-12-29T21:15:42.165685
食料品>調味料>香辛料（チューブ・ボトル）,食料品,調味料,香辛料（チューブ・ボトル）,1,2025-12-29T21:15:10.880953
食料品>調味料>香辛料（チューブ）,食料品,調味料,香辛料（チューブ）,1,2025-12-29T21:15:06.577905
食料品>調味料>魚介加工品,食料品,調味料,魚介加工品,1,2025-12-29T05:22:05.166748
食料品>調味料>魚醤,食料品,調味料,魚醤,0,2025-12-29T20:53:04.941293
食料品>調味料>魚醤・シーズニングソース,食料品,調味料,魚醤・シーズニングソース,1,2025-12-29T21:05:59.193847
食料品>調味料>黒酢,食料品,調味料,黒酢,0,2025-12-29T05:22:04.752374
食料品>調理用ミックス・素>チャーハン・ピラフの素,食料品,調理用ミックス・素,チャーハン・ピラフの素,1,2025-12-29T20:50:46.390894
食料品>調理用食品>惣菜・調理済食品,食料品,調理用食品,惣菜・調理済食品,1,2025-12-29T20:46:21.23986
食料品>豆腐・大豆加工品>がんもどき,食料品,豆腐・大豆加工品,がんもどき,1,2025-12-29T21:12:01.902798
食料品>豆腐・大豆加工品>その他大豆加工品,食料品,豆腐・大豆加工品,その他大豆加工品,1,2025-12-29T21:18:58.734137
食料品>豆腐・大豆加工品>厚揚げ・油揚げ,食料品,豆腐・大豆加工品,厚揚げ・油揚げ,2,2025-12-29T20:59:59.389332
食料品>豆腐・大豆加工品>木綿豆腐,食料品,豆腐・大豆加工品,木綿豆腐,1,2025-12-29T21:19:09.172562
食料品>豆腐・大豆加工品>豆腐,食料品,豆腐・大豆加工品,豆腐,5,2025-12-29T20:46:08.596927
食料品>豆腐・大豆製品>その他豆腐・大豆製品,食料品,豆腐・大豆製品,その他豆腐・大豆製品,1,2025-12-29T21:06:14.811525
食料品>豆腐・大豆製品>ゆば,食料品,豆腐・大豆製品,ゆば,0,2025-12-29T20:56:05.726514
食料品>豆腐・大豆製品>木綿豆腐,食料品,豆腐・大豆製品,木綿豆腐,6,2025-12-29T21:05:11.747212
食料品>豆腐・大豆製品>木綿豆腐・絹ごし豆腐,食料品,豆腐・大豆製品,木綿豆腐・絹ごし豆腐,2,2025-12-29T21:17:45.741597
食料品>豆腐・大豆製品>油あげ,食料品,豆腐・大豆製品,油あげ,1,2025-12-29T21:11:30.225553
食料品>豆腐・大豆製品>油揚げ,食料品,豆腐・大豆製品,油揚げ,0,2025-12-29T20:58:28.005822
食料品>豆腐・大豆製品>油揚げ・がんもどき,食料品,豆腐・大豆製品,油揚げ・がんもどき,1,2025-12-29T21:06:17.018559
食料品>豆腐・大豆製品>絹ごし豆腐,食料品,豆腐・大豆製品,絹ごし豆腐,2,2025-12-29T21:05:27.40709
食料品>豆腐・大豆製品>豆腐,食料品,豆腐・大豆製品,豆腐,17,2025-12-29T20:47:12.670134
食料品>豆腐・大豆製品>豆腐・油揚げ・厚揚げ,食料品,豆腐・大豆製品,豆腐・油揚げ・厚揚げ,0,2025-12-29T20:53:20.858911
食料品>豆腐・油揚げ>木綿豆腐,食料品,豆腐・油揚げ,木綿豆腐,0,2025-12-29T21:05:23.029456
食料品>豆腐・油揚げ>油揚げ,食料品,豆腐・油揚げ,油揚げ,0,2025-12-29T20:53:22.718584
食料品>豆腐・油揚げ>豆腐,食料品,豆腐・油揚げ,豆腐,1,2025-12-29T20:52:52.577543
食料品>豆腐・納豆>豆腐,食料品,豆腐・納豆,豆腐,2,2025-12-29T20:58:57.660053
食料品>豆腐・納豆・こんにゃく>ゆば,食料品,豆腐・納豆・こんにゃく,ゆば,1,2025-12-29T20:56:02.289075
食料品>豆腐・納豆・こんにゃく>豆腐,食料品,豆腐・納豆・こんにゃく,豆腐,1,2025-12-29T21:13:28.272671
食料品>豆腐・納豆・こんにゃく>豆腐・油揚げ,食料品,豆腐・納豆・こんにゃく,豆腐・油揚げ,1,2025-12-29T21:08:58.00971
食料品>豆腐・納豆・惣菜>納豆,食料品,豆腐・納豆・惣菜,納豆,0,2025-12-29T21:03:15.294315
食料品>豆腐・納豆・惣菜>豆腐,食料品,豆腐・納豆・惣菜,豆腐,0,2025-12-29T21:04:50.534861
食料品>豆腐・納豆・惣菜>豆腐・油揚げ,食料品,豆腐・納豆・惣菜,豆腐・油揚げ,0,2025-12-29T20:55:51.43405
食料品>豆腐・納豆・漬物>油揚げ,食料品,豆腐・納豆・漬物,油揚げ,1,2025-12-29T21:11:21.333546
食料品>豆腐・納豆・漬物>納豆,食料品,豆腐・納豆・漬物,納豆,2,2025-12-29T21:16:08.09413
食料品>豆腐・納豆・漬物>豆腐,食料品,豆腐・納豆・漬物,豆腐,18,2025-12-29T20:59:07.326453
食料品>豆腐・納豆・漬物・惣菜>惣菜・お惣菜,食料品,豆腐・納豆・漬物・惣菜,惣菜・お惣菜,0,2025-12-29T20:59:57.342936
食料品>豆腐・納豆・漬物・練物>豆腐,食料品,豆腐・納豆・漬物・練物,豆腐,1,2025-12-29T21:19:10.929891
食料品>豆腐・納豆・練り物>豆腐,食料品,豆腐・納豆・練り物,豆腐,1,2025-12-29T20:56:00.190371
食料品>豆腐類>豆腐,食料品,豆腐類,豆腐,89,2025-12-29T05:00:33.214514
食料品>豆腐類>豆腐類,食料品,豆腐類,豆腐類,0,2025-12-29T05:22:13.42827
食料品>豆腐類>麻婆豆腐,食料品,豆腐類,麻婆豆腐,23,2025-12-29T05:22:13.495873
食料品>野菜>かぼちゃ,食料品,野菜,かぼちゃ,1,2025-12-29T20:46:12.8024
食料品>野菜>きのこ類,食料品,野菜,きのこ類,1,2025-12-29T22:09:40.984883
食料品>野菜>その他野菜,食料品,野菜,その他野菜,1,2025-12-29T22:08:33.291407
食料品>野菜>とうもろこし,食料品,野菜,とうもろこし,3,2025-12-29T22:08:05.921175
食料品>野菜>もやし,食料品,野菜,もやし,1,2025-12-29T21:14:41.635175
食料品>野菜>ナス,食料品,野菜,ナス,1,2025-12-29T20:54:50.8369
食料品>野菜・きのこ>きのこ加工品,食料品,野菜・きのこ,きのこ加工品,1,2025-12-29T22:08:37.269176
食料品>野菜・きのこ>きのこ類,食料品,野菜・きのこ,きのこ類,1,2025-12-29T22:08:27.127258
食料品>野菜・きのこ>とうもろこし,食料品,野菜・きのこ,とうもろこし,5,2025-12-29T22:08:48.834475
食料品>野菜・きのこ>なす,食料品,野菜・きのこ,なす,1,2025-12-29T21:07:55.957936
食料品>野菜・きのこ>もやし,食料品,野菜・きのこ,もやし,1,2025-12-29T21:01:45.796886
食料品>野菜・果物>缶詰野菜,食料品,野菜・果物,缶詰野菜,1,2025-12-29T22:08:29.175357
食料品>野菜・果物>野菜,食料品,野菜・果物,野菜,1,2025-12-29T20:46:41.495584
食料品>野菜・果物>香味野菜,食料品,野菜・果物,香味野菜,1,2025-12-29T21:14:48.199845
食料品>鍋>鍋つゆ,食料品,鍋,鍋つゆ,1,2025-12-29T20:49:43.058563
食料品>鍋つゆ>鍋つゆ,食料品,鍋つゆ,鍋つゆ,1,2025-12-29T22:03:51.055471
食料品>鍋つゆ・スープ>鍋つゆ,食料品,鍋つゆ・スープ,鍋つゆ,6,2025-12-29T22:03:35.199995
食料品>鍋スープ>トマト鍋スープ,食料品,鍋スープ,トマト鍋スープ,0,2025-12-29T21:06:46.249343
食料品>鍋・スープ>鍋つゆ,食料品,鍋・スープ,鍋つゆ,1,2025-12-29T22:03:45.248469
食料品>鍋物>おでん,食料品,鍋物,おでん,1,2025-12-29T20:49:16.674785
食料品>食品>お茶類,食料品,食品,お茶類,11,2025-12-29T05:22:10.782774
食料品>食品>オリーブオイル,食料品,食品,オリーブオイル,8,2025-12-29T05:22:09.58786
食料品>食品>オートミール,食料品,食品,オートミール,5,2025-12-29T05:22:09.866609
食料品>食品>グラノーラ,食料品,食品,グラノーラ,18,2025-12-29T05:22:09.091943
食料品>食品>ココア製品,食料品,食品,ココア製品,10,2025-12-29T05:22:08.974616
食料品>食品>シチュー,食料品,食品,シチュー,21,2025-12-29T05:22:08.836616
食料品>食品>シリアル,食料品,食品,シリアル,6,2025-12-29T05:22:09.72736
食料品>食品>シーズニング,食料品,食品,シーズニング,6,2025-12-29T05:22:10.574627
食料品>食品>ジャム,食料品,食品,ジャム,7,2025-12-29T05:22:10.264008
食料品>食品>ジャム・マーマレード,食料品,食品,ジャム・マーマレード,8,2025-12-29T05:22:09.278175
食料品>食品>スプレッド,食料品,食品,スプレッド,8,2025-12-29T05:22:10.713455
食料品>食品>スンドゥブ,食料品,食品,スンドゥブ,4,2025-12-29T05:22:10.495144
食料品>食品>スープの素,食料品,食品,スープの素,3,2025-12-29T05:22:08.763351
食料品>食品>スープ類,食料品,食品,スープ類,15,2025-12-29T05:22:10.018295
食料品>食品>ドーナツ,食料品,食品,ドーナツ,8,2025-12-29T05:22:09.662871
食料品>食品>ナッツ・飲料,食料品,食品,ナッツ・飲料,14,2025-12-29T05:22:10.856899
食料品>食品>ハンバーグ,食料品,食品,ハンバーグ,16,2025-12-29T05:22:08.696056
食料品>食品>ハーブティー,食料品,食品,ハーブティー,6,2025-12-29T05:22:11.073753
食料品>食品>パン類,食料品,食品,パン類,7,2025-12-29T05:22:09.796854
食料品>食品>ブルーベリージャム,食料品,食品,ブルーベリージャム,9,2025-12-29T05:22:09.946782
食料品>食品>ベーコン,食料品,食品,ベーコン,12,2025-12-29T05:22:09.355324
食料品>食品>マヨネーズ,食料品,食品,マヨネーズ,10,2025-12-29T05:22:09.523022
食料品>食品>ヨーグルト,食料品,食品,ヨーグルト,50,2025-12-29T05:22:08.627975
食料品>食品>ロールパン,食料品,食品,ロールパン,8,2025-12-29T05:22:10.183558
食料品>食品>冷凍食品,食料品,食品,冷凍食品,5,2025-12-29T05:22:10.346088
食料品>食品>唐辛子,食料品,食品,唐辛子,4,2025-12-29T05:22:10.646113
食料品>食品>惣菜,食料品,食品,惣菜,4,2025-12-29T05:22:10.991306
食料品>食品>機能性飲料,食料品,食品,機能性飲料,9,2025-12-29T05:22:10.922158
食料品>食品>焼き菓子,食料品,食品,焼き菓子,4,2025-12-29T05:22:10.428885
食料品>食品>砂糖類,食料品,食品,砂糖類,20,2025-12-29T05:22:08.908591
食料品>食品>調味料,食料品,食品,調味料,0,2025-12-29T05:22:09.438143
食料品>食品>食品小物,食料品,食品,食品小物,20,2025-12-29T05:22:10.095329
食料品>食用油>その他食用油,食料品,食用油,その他食用油,1,2025-12-29T20:50:34.772623
食料品>食用油>植物油,食料品,食用油,植物油,1,2025-12-29T21:59:55.826685
食料品>食肉・加工品>ソーセージ・ウィンナー,食料品,食肉・加工品,ソーセージ・ウィンナー,1,2025-12-29T22:39:10.414042
食料品>食肉・加工肉>ソーセージ・ハム,食料品,食肉・加工肉,ソーセージ・ハム,1,2025-12-29T22:39:55.963136
食料品>食肉・加工肉>ハム・ソーセージ,食料品,食肉・加工肉,ハム・ソーセージ,1,2025-12-29T22:47:03.140511
食料品>食肉・加工肉>ベーコン,食料品,食肉・加工肉,ベーコン,1,2025-12-29T22:45:33.067986
食料品>飲料>その他飲料,食料品,飲料,その他飲料,3,2025-12-29T21:10:31.16795
食料品>飲料>コーヒー,食料品,飲料,コーヒー,3,2025-12-29T22:42:55.409589
食料品>飲料>コーヒー・紅茶,食料品,飲料,コーヒー・紅茶,1,2025-12-29T22:57:13.456287
食料品>飲料>乳酸菌飲料,食料品,飲料,乳酸菌飲料,2,2025-12-29T22:14:35.505555
食料品>飲料>乳飲料,食料品,飲料,乳飲料,1,2025-12-30T01:10:03.869953
食料品>飲料>健康・機能性飲料,食料品,飲料,健康・機能性飲料,0,2025-12-29T21:10:35.033267
食料品>飲料>健康飲料,食料品,飲料,健康飲料,4,2025-12-29T21:10:27.431486
食料品>飲料>果実飲料,食料品,飲料,果実飲料,2,2025-12-29T21:23:39.844866
食料品>飲料>果汁,食料品,飲料,果汁,1,2025-12-29T21:06:27.602555
食料品>飲料>果汁飲料,食料品,飲料,果汁飲料,1,2025-12-29T20:50:50.445484
食料品>飲料>栄養・健康飲料,食料品,飲料,栄養・健康飲料,1,2025-12-29T21:23:50.798434
食料品>飲料>機能性飲料,食料品,飲料,機能性飲料,1,2025-12-29T20:52:01.833418
食料品>飲料>清涼飲料水,食料品,飲料,清涼飲料水,1,2025-12-29T20:52:30.428114
食料品>飲料>豆乳,食料品,飲料,豆乳,3,2025-12-29T22:25:10.839599
食料品>飲料>豆乳飲料,食料品,飲料,豆乳飲料,1,2025-12-29T22:38:58.531892
食料品>飲料類>飲料,食料品,飲料類,飲料,9,2025-12-29T05:22:07.264171
食料品>香辛料>その他香辛料,食料品,香辛料,その他香辛料,1,2025-12-29T20:47:45.054699
食料品>魚介・水産加工品>缶詰,食料品,魚介・水産加工品,缶詰,2,2025-12-29T22:09:57.666013
食料品>魚介加工品>かまぼこ・ちくわ,食料品,魚介加工品,かまぼこ・ちくわ,2,2025-12-29T20:57:07.8543
食料品>魚介加工品>その他魚介加工品,食料品,魚介加工品,その他魚介加工品,3,2025-12-29T21:06:53.784169
食料品>魚介加工品>ツナ缶,食料品,魚介加工品,ツナ缶,3,2025-12-29T22:08:46.903993
食料品>魚介加工品>水産缶詰,食料品,魚介加工品,水産缶詰,2,2025-12-29T22:08:39.004708
食料品>魚介加工品>練り物,食料品,魚介加工品,練り物,0,2025-12-29T20:54:43.244558
食料品>魚介加工品>練り物・すり身,食料品,魚介加工品,練り物・すり身,0,2025-12-29T20:56:55.627429
食料品>魚介加工品>魚介フレーク・缶詰,食料品,魚介加工品,魚介フレーク・缶詰,0,2025-12-29T20:53:59.628358
食料品>魚介加工品>魚介缶詰・瓶詰,食料品,魚介加工品,魚介缶詰・瓶詰,0,2025-12-29T20:54:03.85017
食料品>魚介類・加工品>その他魚介類,食料品,魚介類・加工品,その他魚介類,1,2025-12-29T22:09:26.318603
食料品>魚介類・水産加工品>かつお,食料品,魚介類・水産加工品,かつお,1,2025-12-29T22:10:16.379477
食料品>魚介類・水産加工品>水産缶詰,食料品,魚介類・水産加工品,水産缶詰,1,2025-12-29T22:10:47.288105
